MitgliedsID;Titel;Name;Vorname;Geburstatag; JahresBeitrag ;ZahlArt;LetzteBeitragsZahlung;PLZ;Ort;Straße;HausNr;TelefonNummer;MobilNummer;Email;DatumEintritt;MitgliedsStatus;Kommentar
345;;Baumgartner;Luisa;1951-06-13; 60 € ;Abbuchung;;58149;Bielefeld;Parkstraße;95a;;01760168853;philipp.braun@outlook.de;2016-07-17;aktiv;
348;;Beck;Lara;1942-01-24; 60 € ;Abbuchung;;43918;Münster;Lindenstraße;21;;;;2017-01-03;aktiv;
4;;Behr;Moritz;1913-09-20; 60 € ;Abbuchung;;53332;München;Bahnhofstraße;68b;;;sofia_braun@gmail.com;1990-03-30;aktiv;
380;;Behrens;Lara;1956-06-05; 60 € ;Abbuchung;;57547;Stuttgart;Bergstraße;139c;;;annafischer31@gmx.de;2021-04-15;aktiv;
170;;Behringer;Jonas;1943-12-18; 60 € ;Dauerauftrag;;73497;Dortmund;Herrenweg;65a;;01787140774;;2002-01-16;aktiv;
392;;Beier;Franziska;1999-02-28; 60 € ;Dauerauftrag;;49850;Dortmund;Bergstraße;96c;;01782950439;;2022-07-12;aktiv;
314;;Bender;Philipp;1942-11-05; 100 € ;Abbuchung;;19432;Köln;Lessingstraße;45a;0725532540;;mariefischer81@gmail.com;2010-01-01;aktiv;
406;;Berg;Johanna;1960-04-02; 60 € ;Abbuchung;;24948;Bonn;Friedrichstraße;6a;;01759138215;;2024-01-30;aktiv;
328;;Berger;Emma;1949-02-09; 60 € ;Abbuchung;;63103;Dortmund;Hauptstraße;109a;054484108840;;paul_fischer@gmx.de;2014-07-16;aktiv;
382;;Bergmann;Jonas;1990-06-08; 100 € ;Abbuchung;;;;;;;01609474225;sofia_fischer@gmail.com;2021-05-27;aktiv;
175;;Beyer;Marie;1949-11-28; 300 € ;Abbuchung;;60532;Dortmund;Lessingstraße;1c;0469663183;;annahartmann57@web.de;2002-09-02;aktiv;
395;;Bischof;Johanna;1984-06-03;;;;;;;;047443576728;;benjaminhartmann@outlook.de;;gekündigt;gekündigt zum 31.05.2025
364;;Bischof;Nico;1962-03-20; 120 € ;Abbuchung;;84843;Duisburg;Lindenstraße;142;;;;2018-05-28;aktiv;
85;;Bock;Oliver;1946-09-03;;;;42904;Bonn;Lessingstraße;65c;;01605582308;;;aktiv;gestrichen zum 03.06.25
263;;Brand;Katharina;1953-03-09; 60 € ;Dauerauftrag;;93384;Leipzig;Lindenstraße;12a;09216566449;;lena_hartmann26@t-online.de;2010-08-30;aktiv;
89;;Brandes;Tobias;1941-06-21;;;;37849;Essen;Lindenstraße;89c;06665244382;;leon_hartmann54@gmail.com;;gestrichen;gestrichen zum 03.06.25
128;;Brandt;Michael;1976-02-16; 60 € ;Abbuchung;;99675;München;Rosenweg;145b;;01705894426;benjaminhoffmann@t-online.de;1998-06-23;aktiv;
376;;Brauer;Eva;1950-09-01; 60 € ;Abbuchung;;42039;Bremen;Bahnhofstraße;30a;0969497166;;;2020-03-06;aktiv;
65;;Braun;Luisa;1941-09-16;;;;67582;Duisburg;Bergstraße;88c;;01512786534;marc_hoffmann@gmx.de;;gestrichen;gestrichen zum 03.06.25
370;;Brunner;Laura;1991-08-19; 120 € ;Abbuchung;;83420;Wuppertal;Herrenweg;49a;05165191236;;max_hoffmann@t-online.de;2019-02-22;aktiv;
297;;Busch;Niklas;1965-01-02; 60 € ;keine;;45879;München;Mozartstraße;103b;;01783359065;moritzhoffmann4@gmail.com;2013-01-01;keine Zahlung;nur noch formales Mitglied
53;;Böhler;Lisa;1946-05-17; 60 € ;Dauerauftrag;;54919;Nürnberg;Parkstraße;57b;;;;1992-04-07;aktiv;
207;;Böhm;Jonas;1941-05-13; 60 € ;Abbuchung;;94789;Berlin;Hauptstraße;69c;;;pauline.hoffmann@gmx.de;2005-11-05;aktiv;
244;;Böhmer;Luis;1963-03-07; 60 € ;Abbuchung;;;;;;;;philipp_hoffmann57@outlook.de;2009-09-08;aktiv;
32;;Böttcher;Sofia;1964-12-27; 60 € ;Abbuchung;;76099;München;Gartenweg;128;;01514569987;simon.hoffmann@gmail.com;1991-04-01;aktiv;
95;;Büttner;Carolin;1948-05-17;;;;14643;Berlin;Friedrichstraße;77;;01700608239;clarahofmann@t-online.de;;gestrichen;gestrichen zum 03.06.25
77;;Danner;Leon;1973-11-20; 60 € ;Abbuchung;;40912;Köln;Bergstraße;108;085085972527;;jan.hofmann@t-online.de;1993-09-10;aktiv;
80;;Dietrich;Maria;1975-02-07; 60 € ;Abbuchung;;63392;Stuttgart;Bergstraße;11a;;01527927067;leon.hofmann81@t-online.de;1994-01-08;aktiv;bezahlt noch, aber keine Kontakt Dauerauftragten
340;;Dietz;Hannah;1938-06-06; 60 € ;Abbuchung;;34045;Wuppertal;Bergstraße;8c;09581919;;luisa.hofmann@t-online.de;2015-12-30;aktiv;
179;;Döring;Emma;1965-07-26; 60 € ;Abbuchung;;11573;Duisburg;Lindenstraße;145c;0626864433;;miahofmann@t-online.de;2002-10-07;aktiv;
190;;Döring;Luisa;1953-06-03; 60 € ;Abbuchung;;82055;Münster;Mozartstraße;3c;;;;2003-12-01;aktiv;
417;;Ebert;Simon;1979-12-24; 70 € ;PayPal;;14406;Berlin;Bahnhofstraße;78a;07227802251;;sofia_hofmann@t-online.de;2025-03-21;aktiv;
24;;Eckert;Tom;1963-03-26; 72 € ;Dauerauftrag;;;;;;;;anna.klein17@web.de;1990-11-19;aktiv;
49;Dr.;Ernst;Dominik;1960-03-11; 200 € ;;;;;;;04459509221;;janklein94@t-online.de;1992-03-03;aktiv;
120;;Falk;Nico;1949-01-04; 100 € ;;;95649;Bonn;Ringstraße;50c;;01620066031;jonas.klein@outlook.de;1997-12-10;aktiv;
184;;Feldmann;Pauline;1946-09-20; 60 € ;Abbuchung;;;;;;;;luis_klein42@t-online.de;2003-03-18;aktiv;
353;;Fiedler;Lea;1999-06-19; 60 € ;Abbuchung;;;;;;0511836767;;max.klein@outlook.de;2017-04-24;aktiv;
45;;Fink;Niklas;1974-01-12; 120 € ;Dauerauftrag;;85327;Essen;Goethestraße;96;;01707506238;;1992-01-31;aktiv;
90;;Fischer;Max;1970-09-05; 60 € ;Abbuchung;;66986;Bonn;Hauptstraße;135c;084099054843;;;1994-10-01;aktiv;
20;;Fleischer;Amelie;1950-10-22; 60 € ;;2023;14406;Frankfurt am Main;Goethestraße;41;;;;1990-10-29;keine Zahlung;Brief zurück, Telefon tot, Zahlung zuletzt 2023
204;;Fleischer;Charlotte;1933-05-19; 60 € ;Abbuchung;;92511;Essen;Kirchweg;103a;;;laura.koch@hotmail.de;2005-01-26;aktiv;
419;;Franke;Hannah;1984-06-22; 70 € ;PayPal;;54919;Essen;Mozartstraße;109;;;;2025-05-22;aktiv;bisher keine Kontakt Dauerauftragten hinterlegt
16;;Freitag;Eva;1964-12-11; 100 € ;;;35230;Düsseldorf;Hauptstraße;101;;;;1990-09-27;aktiv;
358;;Freitag;Finn;1951-06-13; 60 € ;Abbuchung;;55831;Leipzig;Parkstraße;128a;;01572737616;;2017-11-27;gekündigt;gekündigt zum 31.12.25
15;;Freund;Emma;1949-02-24; 60 € ;Abbuchung;;25323;Bremen;Mozartstraße;105b;07327018027;;max.koch@outlook.de;1990-09-19;aktiv;
116;;Friedrich;Charlotte;1978-02-21; 60 € ;Abbuchung;;84843;Stuttgart;Lessingstraße;130;06777949185;;philipp.koch@web.de;1997-03-20;aktiv;
278;;Fritz;Moritz;1973-10-05; 60 € ;Abbuchung;;59246;Essen;Rosenweg;99b;057493478763;;;2011-09-01;aktiv;
375;;Fromm;Amelie;1983-11-02; 84 € ;Dauerauftrag;;56890;Dortmund;Parkstraße;121b;;01783670263;felix_krause@gmail.com;2020-02-17;aktiv;
61;;Fromm;Michael;1990-08-14;;;;11273;München;Hauptstraße;32c;;01751323631;jan_krause@outlook.de;;gestrichen;gestrichen zum 03.06.25
159;;Gebauer;Sophie;1961-10-19; 60 € ;Abbuchung;;;;;;;;miakrause@outlook.de;2001-05-07;aktiv;
320;;Gebhardt;Pauline;1985-04-24; 60 € ;Abbuchung;;45480;Düsseldorf;Ringstraße;38;;;;2013-08-11;aktiv;
247;;Geyer;Maria;1963-09-20; 60 € ;Abbuchung;;85327;Leipzig;Lindenstraße;143b;07474193231;;sofiakrause@outlook.de;2009-09-28;aktiv;
104;;Gottschalk;Lisa;1970-03-12;;;;;;;;01354383616;;;;gestrichen;gestrichen zum 03.06.25
307;;Graf;Lara;1989-06-08; 60 € ;Abbuchung;;62450;München;Bergstraße;36b;0628612540;;annakrueger@outlook.de;2013-06-11;aktiv;
309;;Groß;Clara;1976-11-08; 60 € ;Abbuchung;;58275;Frankfurt am Main;Friedrichstraße;26a;;01753848142;;2013-06-17;aktiv;
188;;Günther;Marie;1972-08-10; 120 € ;Abbuchung;;26814;Münster;Bergstraße;85a;074609419999;;daniel_krueger23@t-online.de;2003-10-09;aktiv;
326;;Haag;Franziska;1981-11-13;;;;;;;;;01760688436;;;gestrichen;gestorben am 26.02.2025
291;;Haase;Dominik;1941-06-16; 60 € ;Abbuchung;;;;;;;01748385003;;2012-03-04;aktiv;
76;;Hagemann;Amelie;1963-02-08; 60 € ;Dauerauftrag;;87340;Dortmund;Bahnhofstraße;88c;;;;1993-07-15;aktiv;
332;;Hahn;Emma;1945-09-04; 120 € ;Abbuchung;;45480;Dortmund;Ringstraße;39c;;;mariakrueger21@web.de;2014-09-05;aktiv;
132;;Haller;Jonas;1978-10-07; 102 € ;Abbuchung;;34045;Hamburg;Kirchweg;110b;;01702499158;;1999-10-30;aktiv;
28;;Hartmann;Katharina;1948-09-02; 60 € ;Dauerauftrag;;;;;;048056798357;;niklas_krueger86@outlook.de;1991-01-29;aktiv;
356;;Hauser;Max;1979-06-10; 60 € ;Abbuchung;;50868;Dresden;Schulstraße;96a;02830938732;;timkrueger@gmx.de;2017-08-17;aktiv;
19;;Hauser;Philipp;1972-07-24; 60 € ;;;79691;München;Lindenstraße;31c;;01756679282;emma.lange@outlook.de;1990-10-27;aktiv;
124;;Hein;Marc;1957-07-12; 60 € ;Abbuchung;;;;;;;;;1998-04-28;aktiv;
262;;Heine;Paul;1985-03-17; 60 € ;Abbuchung;;28016;Dortmund;Kirchweg;136c;;01777054528;hannahlange@gmx.de;2010-06-06;aktiv;
200;;Heinemann;Luisa;1947-03-06; 60 € ;Abbuchung;;74330;Bonn;Rosenweg;120b;04303357584;;lena.lange@gmail.com;2004-10-15;aktiv;bezahlt noch, aber keine Kontakt Dauerauftragten
381;;Heinrich;Dominik;1945-07-20;;;;64286;Duisburg;Kirchweg;20c;;01773291418;luis.lange@gmail.com;;gestrichen;gestrichen zum 03.06.25
418;;Heinz;Christian;1995-01-24; 70 € ;PayPal;;51168;Bremen;Kirchweg;66b;;01792320786;lukaslange54@hotmail.de;2025-05-02;aktiv;
231;;Hellmann;Simon;1952-06-28; 600 € ;Abbuchung;;86515;München;Kirchweg;28;;01739912538;marc.lange@outlook.de;2008-10-01;aktiv;
91;;Henning;Max;1942-01-09; 60 € ;Abbuchung;;18972;Bremen;Rosenweg;45;05690436406;;simon.lange70@hotmail.de;1994-10-05;aktiv;
397;;Hermann;Eva;2000-08-20; 60 € ;;;30354;Leipzig;Lessingstraße;150b;;01578569564;amelie.lehmann@hotmail.de;2023-01-30;aktiv;
227;;Herr;Mia;1988-04-17; 60 € ;Abbuchung;;;;;;0256492980;;jonas.lehmann61@gmx.de;2008-03-01;aktiv;
111;;Hertel;Benjamin;1975-03-24; 60 € ;Abbuchung;;56401;Essen;Bergstraße;74a;;01701352723;marc_lehmann18@hotmail.de;1996-06-06;aktiv;
412;;Hess;Lukas;1965-04-10; 120 € ;;;12163;Hannover;Ringstraße;105b;;01786586861;marielehmann@gmail.com;2024-08-06;aktiv;
374;;Hinz;Eva;1964-07-18; 60 € ;Abbuchung;;39347;Bremen;Parkstraße;38;;;niklas.lehmann@t-online.de;2020-01-17;aktiv;
148;;Hirsch;Mia;1976-04-21; 60 € ;;;82679;Hannover;Schulstraße;28b;;;;2001-01-02;aktiv;
286;;Hirsch;Stefan;1973-05-17; 60 € ;Abbuchung;;;;;;;01570638273;niklas_lehmann@outlook.de;2012-01-22;aktiv;
229;;Hoffmann;Eva;1983-08-23; 60 € ;Abbuchung;;;;;;;01729228482;paul_lehmann@t-online.de;2008-06-16;aktiv;
311;;Hollmann;Niklas;1994-03-22; 60 € ;Abbuchung;;30114;Dortmund;Parkstraße;104b;;;paulinelehmann24@gmail.com;2013-06-23;aktiv;
40;;Horn;Luisa;1970-02-02; 60 € ;;;82879;Düsseldorf;Schulstraße;28a;;01752566509;;1991-09-04;aktiv;
155;;Huber;Jan;1937-02-09; 60 € ;Abbuchung;;83481;Frankfurt am Main;Goethestraße;83c;036083238563;;;2001-03-11;aktiv;
367;;Jacob;Tim;1940-04-02; 60 € ;Abbuchung;;89124;Wuppertal;Goethestraße;1c;;01520316720;;2018-09-27;aktiv;
13;;Jakob;Eva;1940-12-10; 60 € ;;;30933;Stuttgart;Lessingstraße;11b;;;amelie.meier88@t-online.de;1990-09-01;aktiv;
317;;Jansen;Charlotte;1984-11-14; 60 € ;Abbuchung;;;;;;;01605513055;;2013-11-04;aktiv;
113;;Jansen;Nico;1959-05-11; 60 € ;Abbuchung;;33118;Wuppertal;Ringstraße;25;0637370991;;felix_meier@t-online.de;1997-01-15;aktiv;
393;;John;Amelie;1984-08-13; 100 € ;Abbuchung;;34259;Wuppertal;Ringstraße;15b;0753946967;;finn_meier18@web.de;2022-10-25;aktiv;
144;;Jung;Lena;1961-07-02; 60 € ;Abbuchung;;99675;Köln;Hauptstraße;1c;;01742956837;laura.meier@outlook.de;2000-11-24;aktiv;
396;;Jäger;Laura;1990-05-11; 60 € ;Abbuchung;;88185;Bonn;Bahnhofstraße;25;0683053178;;mariameier53@gmx.de;2023-01-10;aktiv;
407;;Kaiser;Felix;1951-08-06; 100 € ;;;50540;Frankfurt am Main;Hauptstraße;67b;087614222625;;;2024-03-07;aktiv;
145;;Kaufmann;Daniel;1942-11-01; 60 € ;Abbuchung;;37471;Duisburg;Goethestraße;90c;;01760248652;finn.meyer81@web.de;2000-12-09;aktiv;
186;;Keller;Amelie;1980-07-02;;;;;;;;0937149500;;janmeyer29@gmx.de;;gestrichen;gestrichen zum 03.06.25
136;;Keller;Amelie;1941-02-27; 60 € ;Abbuchung;;84230;Frankfurt am Main;Friedrichstraße;83c;;;;2000-01-10;aktiv;
93;;Kern;Daniel;1958-05-16; 120 € ;Abbuchung;;;;;;;01602899420;;1994-11-13;aktiv;
96;;Kiefer;Johanna;1946-11-02; 60 € ;Abbuchung;;94527;Berlin;Lindenstraße;111b;0175902835;;annamueller@web.de;1995-01-01;aktiv;
253;;Kirsch;Lea;1949-08-11; 60 € ;Abbuchung;;57991;Nürnberg;Herrenweg;5b;;01572724773;;2010-01-21;aktiv;
160;;Klein;Lisa;1980-07-12; 60 € ;;;41411;Hamburg;Mozartstraße;134a;087930437191;;;2001-06-01;aktiv;
1;;Konrad;Marc;1963-12-22;;;;45480;Nürnberg;Bahnhofstraße;84b;;01512345923;juliamueller76@hotmail.de;;gestrichen;Verstorben 2024
377;Dr.;Kopp;Nico;1989-07-14; 60 € ;Abbuchung;;70335;Bochum;Bergstraße;82;;01727546030;;2020-09-23;aktiv;
137;;Kraemer;Daniel;1964-07-23; 60 € ;Abbuchung;;28138;Bielefeld;Gartenweg;63c;0286430155;;;2000-03-10;gekündigt;gekündigt zum 30.06.2025
389;;Kraemer;Sara;1958-10-17; 60 € ;Abbuchung;;26670;Stuttgart;Goethestraße;14c;;;leonmueller44@outlook.de;2022-01-12;aktiv;
57;;Kraus;Moritz;1951-06-24; 120 € ;;;15181;Bremen;Lindenstraße;98a;04991927717;;miamueller@hotmail.de;1992-06-16;aktiv;
198;;Krause;Hannah;1981-06-24; 60 € ;Abbuchung;;;;;;031277837356;;moritzmueller@web.de;2004-10-09;aktiv;
352;;Krauß;Dominik;1984-10-02; 60 € ;Abbuchung;;30748;Hannover;Parkstraße;108;;01747874511;;2017-04-06;aktiv;
168;;Kremer;Lukas;01.08.1970; 60 € ;Abbuchung;;25380;Wuppertal;Goethestraße;15b;08863005214;;simonmueller@gmail.com;2001-11-12;aktiv;E-Mail geschrieben, Brief zurück
172;Dr.;Kretschmann;Benjamin;1963-01-25; 60 € ;Abbuchung;;64732;Dortmund;Goethestraße;4c;030230691755;;;2002-01-30;aktiv;Brief zurück, E-Mail aus, Telefon klingelt
371;;Kretschmer;Nele;1947-12-02; 60 € ;Abbuchung;;28073;Duisburg;Parkstraße;7b;;01521063328;paulneumann@gmx.de;2019-05-28;aktiv;bezahlt noch, aber keine Kontakt Dauerauftragten
29;;Kuhn;Anna;1973-10-22; 60 € ;;;;;;;0667684130;;lea.richter33@outlook.de;1991-01-29;aktiv;
146;;Kunz;Nico;1947-04-13; 60 € ;Abbuchung;;29467;Duisburg;Friedrichstraße;76c;024915351684;;;2000-12-29;aktiv;
147;;Kurz;Franziska;1934-03-10; 60 € ;Abbuchung;;62980;Wuppertal;Lindenstraße;37a;;;sara_richter@t-online.de;2000-12-29;aktiv;
87;;Köhler;Michael;1975-08-23; 60 € ;;;23590;Dortmund;Goethestraße;97a;;01741922125;tom.richter@hotmail.de;1994-05-01;aktiv;
391;;König;Katharina;2001-07-14; 60 € ;;;36387;Stuttgart;Kirchweg;141;;01753662080;;2022-02-09;aktiv;
325;;Kühn;Tobias;1980-02-28; 60 € ;Abbuchung;;53595;Hamburg;Hauptstraße;24;;01799627027;alexander_schmidt@t-online.de;2014-01-17;aktiv;
383;;Lang;Michael;1976-02-25;;;;;;;;0960736238;;anna.schmidt@outlook.de;;gestrichen;gestrichen zum 03.06.25
191;;Lange;Marie;1982-02-02; 60 € ;Abbuchung;;77891;München;Schulstraße;136a;;;jonas_schmidt68@t-online.de;2004-01-01;aktiv;
119;;Lange;Sara;1961-02-27; 61 € ;Abbuchung;;83481;Hamburg;Ringstraße;99a;02770191958;;;1997-11-29;aktiv;
403;;Lehmann;Marc;1996-02-12; 60 € ;Abbuchung;;92511;Duisburg;Bahnhofstraße;149b;042970692919;;luisa_schmidt39@web.de;2023-11-09;aktiv;
284;;Lenz;Dominik;1949-12-10; 60 € ;Abbuchung;;30933;Essen;Friedrichstraße;5;;;nele_schmidt@outlook.de;2012-01-05;aktiv;
344;;Liebmann;Oliver;1991-05-12; 60 € ;Abbuchung;;39084;Wuppertal;Rosenweg;67b;0815988993;;nico.schmidt@gmx.de;2016-07-05;aktiv;
413;;Lorentz;Lena;1955-10-26; 60 € ;;;74904;Essen;Lessingstraße;147c;;01782378031;philippschmidt@hotmail.de;2024-08-06;aktiv;
206;;Lorenz;Moritz;1981-11-09; 60 € ;Abbuchung;;18972;Berlin;Ringstraße;10a;0153753325;;sofia.schmidt63@outlook.de;2005-10-06;aktiv;
386;;Ludewig;Clara;1944-05-23;;;;34470;Berlin;Parkstraße;104b;;;julia.schmitt@gmx.de;;gekündigt;gekündigt zum 30.04.2025
387;;Ludwig;Hannah;1970-06-23;;;;44196;Bremen;Parkstraße;110;0701552241;;laraschmitt@gmail.com;;gekündigt;gekündigt zum 30.04.2025
283;;Maier;Benjamin;1960-07-10; 60 € ;Abbuchung;;73686;Bonn;Gartenweg;138a;;01778394003;lauraschmitt@hotmail.de;2011-11-01;aktiv;
78;;Martin;Pauline;1944-08-28; 60 € ;Abbuchung;;;;;;;01724099093;max.schmitt@web.de;1993-10-22;aktiv;
211;;May;Felix;1948-07-16; 60 € ;Abbuchung;;79141;Düsseldorf;Ringstraße;93b;;;mia_schmitt@web.de;2006-08-08;aktiv;
265;;Meier;Moritz;1982-12-24; 60 € ;Abbuchung;;65450;Dortmund;Mozartstraße;30a;;;niklasschmitt83@web.de;2010-10-01;aktiv;
250;;Menzel;Sofia;1947-05-07; 60 € ;Abbuchung;;79691;Düsseldorf;Parkstraße;10;07891688904;;timschmitt@gmx.de;2009-12-04;aktiv;
410;;Merkel;Luis;1957-11-02; 60 € ;;;31598;Dresden;Goethestraße;129b;05558270991;;;2024-06-21;aktiv;
388;;Mertens;Julia;1976-11-20; 60 € ;Abbuchung;;16465;Wuppertal;Parkstraße;28a;;01515873579;charlotteschmitz@outlook.de;2022-01-16;aktiv;
163;;Meyer;Dominik;1943-03-17; 60 € ;Abbuchung;;;;;;;;felix_schmitz67@gmx.de;;aktiv;unbekannt verzogen, aber bezahlt noch
415;;Mohr;Finn;1946-04-24; 60 € ;Dauerauftrag;;79847;Wuppertal;Ringstraße;76b;;01728151203;lena.schmitz@hotmail.de;2024-09-28;aktiv;
267;;Moser;Nico;1992-12-28; 60 € ;Abbuchung;;70335;Frankfurt am Main;Gartenweg;149b;;01515574394;luisaschmitz23@web.de;2010-12-20;aktiv;
268;;Müller;Anna;1940-12-22; 60 € ;Abbuchung;;84230;München;Lessingstraße;124a;;01742839791;;2010-12-29;aktiv;
295;;Neubauer;Tobias;1989-08-19; 100 € ;Abbuchung;;18054;Düsseldorf;Schulstraße;87b;;01743056114;mariaschmitz@outlook.de;2012-12-01;aktiv;
219;;Neumann;Mia;1954-06-08; 60 € ;Abbuchung;;91882;Berlin;Parkstraße;61a;;01778161933;neleschmitz@gmx.de;2007-11-15;aktiv;unbekannt verzogen, aber bezahlt noch
82;;Ortmann;Maria;1954-02-14; 60 € ;Abbuchung;;;;;;0853799634;;timschmitz@t-online.de;1994-02-17;aktiv;
46;;Ott;Lena;1956-05-01; 60 € ;Abbuchung;;79519;Hamburg;Mozartstraße;123;;01715852712;benjamin_schneider@hotmail.de;1992-02-01;aktiv;
107;;Pape;Luis;1958-11-22; 60 € ;Abbuchung;;45549;Bochum;Rosenweg;133a;;01705743140;clara.schneider@hotmail.de;1995-12-01;aktiv;
193;;Peters;Amelie;1964-04-10; 100 € ;Abbuchung;;16409;Hannover;Hauptstraße;32c;;01790057028;;2004-01-17;aktiv;
176;;Pfeiffer;Christian;1984-02-07; 60 € ;Abbuchung;;81989;Hamburg;Hauptstraße;46c;;01621307004;sara_schneider@gmail.com;2002-09-06;aktiv;
302;;Rausch;Johanna;1988-04-06; 60 € ;Abbuchung;;24708;Dortmund;Friedrichstraße;149;;01797588134;;2013-04-08;aktiv;
158;;Reimer;Julia;1955-11-25; 100 € ;Abbuchung;;22761;Nürnberg;Friedrichstraße;42b;;01746207588;sofiaschneider@gmail.com;2001-05-04;aktiv;
174;;Reincke;Simon;1945-04-01; 60 € ;Abbuchung;;10074;Stuttgart;Rosenweg;74a;0549193163;;danielschroeder@web.de;2002-07-12;aktiv;
399;;Reinhold;Sara;1958-02-28; 60 € ;;;95649;Duisburg;Herrenweg;135a;;01579791335;;2023-06-27;aktiv;
164;;Renz;Nico;1946-05-20; 60 € ;Abbuchung;;30748;Nürnberg;Parkstraße;31a;0189286659;;laura.schroeder@gmx.de;2001-10-15;aktiv;
379;;Riedel;Felix;1959-01-18; 60 € ;Abbuchung;;49993;Nürnberg;Parkstraße;66a;;01621381625;marcschroeder75@outlook.de;2020-11-20;aktiv;
385;;Ritter;Jonas;2002-01-07; 60 € ;Abbuchung;;;;;;;;;2021-11-26;aktiv;
56;;Roth;Felix;1956-12-04; 92 € ;Dauerauftrag;;;;;;;;nico_schroeder37@web.de;1992-06-11;aktiv;
8;;Rother;Emma;1931-01-28; 60 € ;Abbuchung;;31568;Düsseldorf;Ringstraße;65;;;niklas.schroeder84@gmail.com;1990-03-30;aktiv;
30;;Rother;Sara;1962-06-03; 60 € ;Abbuchung;;94294;Bochum;Schulstraße;122a;;01748142201;niklas.schroeder@gmx.de;1991-01-31;aktiv;
36;;Rudolph;Katharina;1949-01-27; 70 € ;;;50640;Bremen;Hauptstraße;142;;;;1991-06-29;aktiv;
349;;Rupp;Charlotte;1954-12-07; 60 € ;Dauerauftrag;;;;;;;01570155581;philipp_schroeder@hotmail.de;2016-12-08;aktiv;
195;;Sailer;Maria;1979-02-02; 60 € ;Abbuchung;;92240;Hamburg;Parkstraße;143;0537936337;;;2004-06-25;aktiv;
41;;Sauer;Eva;1977-04-27;;;;21201;Nürnberg;Schulstraße;117b;;;simonschroeder33@gmx.de;;gestrichen;gestrichen zum 03.06.25
414;;Schaller;Luisa;1951-03-19; 120 € ;Abbuchung;;;;;;0754839317;;felix_schulz@gmail.com;2024-09-21;aktiv;
69;;Schenk;Luis;1968-12-16; 60 € ;;;83481;Berlin;Herrenweg;140a;072929927971;;;1993-02-03;aktiv;
203;;Schilling;Lukas;1947-05-13; 60 € ;Abbuchung;;26814;Bonn;Lindenstraße;57;08473181709;;lara_schulz45@t-online.de;2004-11-03;aktiv;
101;;Schlegel;Sara;1948-07-02; 60 € ;Dauerauftrag;;24719;Duisburg;Lessingstraße;23c;07447895659;;lukasschulz@t-online.de;1995-04-17;aktiv;
251;;Schmid;Philipp;04.06.1873; 120 € ;Dauerauftrag;;96436;Bonn;Friedrichstraße;94c;;01623831398;neleschulz@t-online.de;1905-07-02;aktiv;
408;;Schmidt;Clara;1995-08-28; 100 € ;Abbuchung;;88933;Leipzig;Gartenweg;50b;;;pauline_schulz@t-online.de;2024-06-03;aktiv;
258;;Schmidt;Luisa;1975-09-23; 60 € ;Abbuchung;;13149;Frankfurt am Main;Mozartstraße;21a;021364115366;;simon.schulz@outlook.de;2010-04-20;aktiv;
363;;Schneider;Jonas;1978-06-28; 60 € ;Abbuchung;;19432;Essen;Schulstraße;28a;;01785792249;;2018-02-26;aktiv;
209;;Scholz;Lisa;1962-06-26; 60 € ;Abbuchung;;20803;Bielefeld;Ringstraße;144b;09614679450;;amelie.schwarz37@outlook.de;2006-03-05;aktiv;
166;;Schott;Leon;1931-11-20; 60 € ;Abbuchung;;94789;Bonn;Bahnhofstraße;81a;014964674358;;;2001-10-29;aktiv;
