KontaktID;TelefonNummer;MobilNummer;Email
179;;;sofia_schwarz56@outlook.de
180;;01511456819;timschwarz63@outlook.de
181;0909299574;;
182;0363612201;;
183;;01730663563;luis.wagner@gmx.de
184;;01775322586;
185;09309588859;;anna.weber@web.de
186;;01752711644;annaweber@gmail.com
187;;01797638515;benjamin.weber@outlook.de
188;;;charlotteweber96@gmail.com
189;;01783937206;claraweber@gmx.de
190;;01525698178;
191;;01522743705;
192;01226249883;;max.weber@hotmail.de
193;0280360018;;moritz_weber@t-online.de
194;;01758219448;neleweber@hotmail.de
195;;01513040541;
196;080404202620;;timweber47@gmail.com
197;;01737543214;annawerner@gmail.com
198;;01703382956;anna_werner37@gmx.de
199;;01787185393;
200;;01783913887;jonas_werner@hotmail.de
201;;01724933087;lea.werner@t-online.de
202;;01511786084;leon.werner@gmx.de
203;0175083926;;luisawerner@hotmail.de
204;060723418379;;marc_werner52@gmail.com
205;;;marie.werner@outlook.de
206;056958977;;moritz_werner@web.de
207;0738539490;;niklas.werner@hotmail.de
208;;01751192136;paulwerner@hotmail.de
209;;01796348701;pauline.werner@t-online.de
210;;01791550163;amelie_wolf@hotmail.de
211;;01522026486;felix_wolf@hotmail.de
;;;
;;;
214;;01756164349;charlotte_zimmermann57@outlook.de
215;081534467066;;danielzimmermann@hotmail.de
216;;01784549259;
;;;
218;;01571148520;sofia.zimmermann@gmx.de
